"","area_code","year","high.tech.occupations","total.jobs","rate"
"1","0010180",2013,520,62610,0.00830538252675292
"2","0010380",2013,180,42480,0.00423728813559322
"3","0010420",2013,7590,317190,0.023928875437435
"4","0010500",2013,440,58240,0.00755494505494505
"5","0010580",2013,15910,427180,0.0372442530080996
"6","0010740",2013,11080,368830,0.0300409402705854
"7","0010780",2013,390,60470,0.0064494790805358
"8","0010900",2013,8170,336560,0.0242750178274305
"9","0011020",2013,650,57730,0.0112593105837519
"10","0011100",2013,1140,110660,0.0103018254111693
"11","0011180",2013,1270,41460,0.0306319343945972
"12","0011260",2013,4600,175540,0.0262048535946223
"13","0011300",2013,90,37820,0.00237969328397673
"14","0011340",2013,390,60100,0.0064891846921797
"15","0011460",2013,9740,202700,0.0480513073507647
"16","0011500",2013,330,43150,0.00764774044032445
"17","0011540",2013,1670,115480,0.0144613785936959
"18","0011700",2013,2050,171890,0.0119262318924894
"19","0012020",2013,1110,77820,0.0142636854279106
"20","0012060",2013,80740,2308040,0.0349820627025528
"21","0012100",2013,1660,132980,0.0124830801624304
"22","0012220",2013,570,51010,0.0111742795530288
"23","0012260",2013,4140,202750,0.0204192355117139
"24","0012420",2013,50800,854930,0.0594200694793726
"25","0012540",2013,7000,288490,0.0242642725917709
"26","0012580",2013,50980,1280700,0.0398063558991177
"27","0012940",2013,8420,366610,0.0229671858378113
"28","0012980",2013,300,53370,0.00562113546936481
"29","0013020",2013,100,33490,0.00298596595998806
"30","0013140",2013,2400,155790,0.0154053533602927
"31","0013380",2013,690,76650,0.00900195694716243
"32","0013460",2013,870,62540,0.0139110968979853
"33","0013644",2013,34530,561830,0.0614598722033355
"34","0013740",2013,1330,82610,0.0160997457934875
"35","0013780",2013,1850,103490,0.0178761232969369
"36","0013820",2013,14090,490870,0.0287041375516939
"37","0013900",2013,1220,68060,0.0179253599764913
"38","0013980",2013,1560,63270,0.024656235182551
"39","0014020",2013,1700,72550,0.0234321157822192
"40","0014060",2013,1010,87020,0.0116065272351184
"41","0014260",2013,7110,269680,0.0263645802432513
"42","0014500",2013,13700,163010,0.0840439236856635
"43","0014540",2013,660,59180,0.0111524163568773
"44","0014740",2013,1510,77850,0.0193962748876044
"45","0015180",2013,550,131270,0.0041898377390112
"46","0015260",2013,160,38860,0.00411734431291817
"47","0015380",2013,12330,532880,0.0231384176550068
"48","0015500",2013,800,55910,0.0143087104274727
"49","0015804",2013,10530,501330,0.0210041290168153
"50","0015940",2013,1560,165610,0.00941972103133869
"51","0015980",2013,2110,211080,0.00999620996778473
"52","0016020",2013,290,42060,0.00689491203043271
"53","0016180",2013,30,25770,0.00116414435389988
"54","0016220",2013,680,42080,0.0161596958174905
"55","0016300",2013,4140,138580,0.0298744407562419
"56","0016580",2013,2170,96350,0.0225220550077841
"57","0016620",2013,1850,144200,0.0128294036061026
"58","0016700",2013,7590,295210,0.025710511161546
"59","0016740",2013,26020,877070,0.0296669593076949
"60","0016820",2013,3090,98400,0.0314024390243902
"61","0016860",2013,4110,227330,0.018079443980117
"62","0016940",2013,630,44370,0.0141987829614604
"63","0016974",2013,102480,3700620,0.0276926569061401
"64","0016980",2013,119070,4347580,0.027387650140998
"65","0017020",2013,620,68410,0.00906300248501681
"66","0017140",2013,29730,995170,0.0298742928343901
"67","0017300",2013,610,82080,0.0074317738791423
"68","0017420",2013,340,38950,0.00872913992297818
"69","0017460",2013,27570,1010190,0.0272918955839991
"70","0017660",2013,530,53450,0.00991580916744621
"71","0017780",2013,2600,95910,0.0271087477843812
"72","0017820",2013,10160,245910,0.0413159285917612
"73","0017860",2013,1610,88930,0.0181041268413359
"74","0017900",2013,8040,346140,0.0232275957704975
"75","0017980",2013,2520,111860,0.0225281602002503
"76","0018020",2013,650,47050,0.0138150903294368
"77","0018140",2013,34290,940940,0.0364422811231322
"78","0018580",2013,2660,184760,0.0143970556397489
"79","0018700",2013,1450,33080,0.0438331318016929
"80","0018880",2013,2990,74730,0.0400107052054061
"81","0019060",2013,220,36630,0.00600600600600601
"82","0019100",2013,115200,3061220,0.037632055193681
"83","0019124",2013,94160,2149600,0.0438034983252698
"84","0019140",2013,1030,61920,0.0166343669250646
"85","0019180",2013,130,26960,0.00482195845697329
"86","0019260",2013,80,37000,0.00216216216216216
"87","0019340",2013,2710,180170,0.0150413498362657
"88","0019380",2013,13180,368960,0.0357220294882914
"89","0019460",2013,630,53000,0.0118867924528302
"90","0019500",2013,90,49080,0.00183374083129584
"91","0019660",2013,1480,152950,0.00967636482510624
"92","0019740",2013,59880,1280960,0.0467461903572321
"93","0019780",2013,9980,330500,0.030196671709531
"94","0019804",2013,21790,7e+05,0.0311285714285714
"95","0019820",2013,58140,1812140,0.0320836138488196
"96","0020020",2013,300,55180,0.0054367524465386
"97","0020100",2013,520,60330,0.00861926073263716
"98","0020220",2013,820,56990,0.0143884892086331
"99","0020260",2013,1740,123540,0.0140845070422535
"100","0020500",2013,21670,276580,0.0783498445296117
"101","0020740",2013,1520,78840,0.0192795535261289
"102","0020764",2013,42460,981480,0.0432611973753923
"103","0020940",2013,220,51990,0.00423158299673014
"104","0021060",2013,470,46760,0.0100513259195894
"105","0021140",2013,680,114420,0.00594301695507778
"106","0021300",2013,70,35790,0.00195585359038838
"107","0021340",2013,2590,281570,0.00919842312746386
"108","0021500",2013,1270,125060,0.0101551255397409
"109","0021660",2013,2240,139050,0.0161093131966918
"110","0021780",2013,2600,169830,0.015309427074133
"111","0021820",2013,660,35710,0.0184822178661439
"112","0021940",2013,60,12950,0.00463320463320463
"113","0022020",2013,2030,128990,0.0157376540817118
"114","0022140",2013,170,50530,0.00336433801701959
"115","0022180",2013,1290,125760,0.0102576335877863
"116","0022220",2013,5240,208010,0.0251910965818951
"117","0022380",2013,540,56200,0.0096085409252669
"118","0022420",2013,1010,132000,0.00765151515151515
"119","0022500",2013,1300,80930,0.0160632645496108
"120","0022520",2013,400,51990,0.00769378726678207
"121","0022540",2013,100,45010,0.00222172850477672
"122","0022660",2013,6430,136810,0.0469994883414955
"123","0022744",2013,13450,732460,0.0183627774895557
"124","0022900",2013,1060,112020,0.00946259596500625
"125","0023060",2013,3790,202440,0.0187215965224264
"126","0023104",2013,22120,911620,0.0242644961716505
"127","0023420",2013,3080,321810,0.00957086479599764
"128","0023460",2013,150,34490,0.00434908669179472
"129","0023540",2013,2970,120230,0.0247026532479414
"130","0023580",2013,620,73980,0.00838064341713977
"131","0023844",2013,3100,267430,0.0115918184197734
"132","0024020",2013,220,52520,0.00418888042650419
"133","0024140",2013,170,39060,0.00435227854582693
"134","0024220",2013,360,50400,0.00714285714285714
"135","0024300",2013,210,57930,0.00362506473329881
"136","0024340",2013,8630,397380,0.0217172479742312
"137","0024500",2013,120,34490,0.00347926935343578
"138","0024540",2013,780,86640,0.00900277008310249
"139","0024580",2013,3270,164630,0.0198627224685659
"140","0024660",2013,6670,344640,0.0193535283194058
"141","0024780",2013,1030,75570,0.0136297472542014
"142","0024860",2013,6050,302970,0.0199689738257913
"143","0025020",2013,170,12530,0.0135674381484437
"144","0025060",2013,1610,100370,0.016040649596493
"145","0025180",2013,1460,101170,0.0144311554808738
"146","0025260",2013,100,37510,0.00266595574513463
"147","0025420",2013,8260,307350,0.0268748983243859
"148","0025500",2013,610,58680,0.0103953646898432
"149","0025620",2013,570,56500,0.0100884955752212
"150","0025860",2013,1190,143700,0.00828114126652749
"151","0026100",2013,1090,105430,0.0103386132979228
"152","0026180",2013,7930,441250,0.017971671388102
"153","0026300",2013,190,34530,0.00550246162757023
"154","0026380",2013,490,96890,0.00505728145319434
"155","0026420",2013,108690,2757640,0.039414136725606
"156","0026580",2013,1090,107810,0.0101103793711159
"157","0026620",2013,18990,210110,0.0903812288801104
"158","0026820",2013,500,50150,0.00997008973080758
"159","0026900",2013,25430,912810,0.0278590287135329
"160","0026980",2013,1680,88520,0.0189787618617262
"161","0027060",2013,660,49070,0.0134501732219279
"162","0027100",2013,940,55980,0.0167917113254734
"163","0027140",2013,4310,248430,0.0173489514148855
"164","0027180",2013,400,57830,0.00691682517724364
"165","0027260",2013,11670,586900,0.0198841369909695
"166","0027340",2013,130,44250,0.00293785310734463
"167","0027500",2013,690,60980,0.0113151853066579
"168","0027620",2013,1930,72060,0.0267832361920622
"169","0027740",2013,1060,76790,0.0138038807136346
"170","0027780",2013,510,55560,0.0091792656587473
"171","0027860",2013,430,50350,0.00854021847070506
"172","0027900",2013,590,77900,0.00757381258023107
"173","0028020",2013,2370,129140,0.0183521759330959
"174","0028100",2013,120,40980,0.00292825768667643
"175","0028140",2013,33990,986500,0.034455144450076
"176","0028420",2013,3620,98520,0.036743808363784
"177","0028660",2013,2130,130110,0.0163707632003689
"178","0028700",2013,790,114400,0.00690559440559441
"179","0028740",2013,330,56490,0.00584174190122146
"180","0028940",2013,6800,323770,0.0210025635481978
"181","0029020",2013,1390,40260,0.0345255837059116
"182","0029100",2013,600,73490,0.0081643761055926
"183","0029140",2013,1080,86960,0.0124195032198712
"184","0029180",2013,2530,154340,0.0163923804587275
"185","0029340",2013,1210,88440,0.013681592039801
"186","0029404",2013,8090,379540,0.0213152763872056
"187","0029420",2013,290,44070,0.00658044020875879
"188","0029460",2013,2530,196400,0.0128818737270876
"189","0029540",2013,2170,221960,0.00977653631284916
"190","0029620",2013,4730,198330,0.0238491403216861
"191","0029700",2013,330,92270,0.00357646038799176
"192","0029740",2013,1730,68080,0.0254112808460635
"193","0029820",2013,10540,839650,0.0125528494015364
"194","0029940",2013,650,45310,0.0143456190686383
"195","0030020",2013,390,40990,0.00951451573554525
"196","0030140",2013,150,50150,0.00299102691924227
"197","0030300",2013,100,24050,0.00415800415800416
"198","0030460",2013,6090,250070,0.0243531811092894
"199","0030620",2013,400,48890,0.00818163223563101
"200","0030700",2013,4820,166120,0.0290151697568023
"201","0030780",2013,8720,334770,0.0260477342653165
"202","0030860",2013,1000,49880,0.0200481154771451
"203","0030980",2013,1020,98900,0.0103134479271992
"204","0031020",2013,40,33810,0.00118308192842354
"205","0031084",2013,112880,3974890,0.0283982701408089
"206","0031100",2013,173880,5427320,0.0320379118975848
"207","0031140",2013,11640,609210,0.0191067119712414
"208","0031180",2013,1560,129310,0.0120640321707525
"209","0031340",2013,1180,98060,0.0120334489088313
"210","0031420",2013,1470,93970,0.0156432904118336
"211","0031540",2013,14300,342930,0.0416994721954918
"212","0031740",2013,800,50010,0.015996800639872
"213","0031860",2013,380,48220,0.00788054749066777
"214","0031900",2013,220,48890,0.00449989772959705
"215","0032420",2013,200,29730,0.0067272115708039
"216","0032580",2013,1330,233640,0.00569251840438281
"217","0032780",2013,920,76410,0.0120403088600968
"218","0032820",2013,11140,590140,0.0188768766733318
"219","0032900",2013,250,60970,0.00410037723470559
"220","0033100",2013,39140,2280990,0.0171592159544759
"221","0033124",2013,14700,1023360,0.0143644465290807
"222","0033140",2013,290,40560,0.00714990138067061
"223","0033260",2013,3100,82750,0.0374622356495468
"224","0033340",2013,22230,814120,0.0273055569203557
"225","0033460",2013,60210,1791390,0.0336107715237888
"226","0033540",2013,650,55620,0.0116864437252787
"227","0033660",2013,3020,167890,0.0179879683125856
"228","0033700",2013,1310,157800,0.00830164765525982
"229","0033740",2013,560,74190,0.00754818708720852
"230","0033780",2013,170,38410,0.00442593074720125
"231","0033860",2013,3580,159110,0.0225001571240023
"232","0034060",2013,1440,63050,0.0228390166534496
"233","0034100",2013,150,43970,0.00341141687514214
"234","0034580",2013,270,43140,0.0062586926286509
"235","0034620",2013,350,44540,0.0078581050740907
"236","0034740",2013,240,57300,0.00418848167539267
"237","0034820",2013,900,112720,0.00798438608942512
"238","0034900",2013,420,65690,0.00639366722484396
"239","0034940",2013,880,118850,0.00740429112326462
"240","0034980",2013,18570,791190,0.0234709741023016
"241","0035004",2013,26590,1235610,0.0215197351915248
"242","0035084",2013,27600,957630,0.028821152219542
"243","0035380",2013,9320,524950,0.0177540718163635
"244","0035620",2013,243620,8416800,0.0289444919684441
"245","0035644",2013,146840,5242070,0.0280118350193721
"246","0035660",2013,420,56890,0.00738266830725962
"247","0035840",2013,3550,246570,0.0143975341687959
"248","0036084",2013,44790,1003860,0.0446177753870062
"249","0036100",2013,700,90860,0.00770416024653313
"250","0036140",2013,50,37460,0.00133475707421249
"251","0036220",2013,640,70850,0.00903316866619619
"252","0036260",2013,4490,202960,0.0221225857311786
"253","0036420",2013,17340,597370,0.0290272360513585
"254","0036500",2013,2340,95850,0.0244131455399061
"255","0036540",2013,15780,457580,0.0344857729795883
"256","0036740",2013,22110,1042150,0.0212157558892674
"257","0036780",2013,1180,91970,0.0128302707404588
"258","0036980",2013,270,49410,0.00546448087431694
"259","0037100",2013,7830,292930,0.0267299354794661
"260","0037340",2013,10960,191320,0.0572862220363788
"261","0037380",2013,50,18950,0.00263852242744063
"262","0037460",2013,530,70530,0.00751453282291224
"263","0037620",2013,190,67000,0.00283582089552239
"264","0037700",2013,820,53620,0.0152928011935845
"265","0037860",2013,2150,153140,0.0140394410343477
"266","0037900",2013,4180,180700,0.0231322634200332
"267","0037964",2013,72250,1840120,0.0392637436688912
"268","0037980",2013,99510,2666990,0.0373117259532282
"269","0038060",2013,57780,1781210,0.0324386231831171
"270","0038220",2013,250,33170,0.00753693096171239
"271","0038300",2013,36540,1130750,0.0323148352863144
"272","0038540",2013,350,33670,0.0103950103950104
"273","0038660",2013,510,53430,0.00954519932622122
"274","0038900",2013,31930,1027440,0.0310772405201277
"275","0038940",2013,1060,124990,0.00848067845427634
"276","0039100",2013,3290,244500,0.0134560327198364
"277","0039140",2013,250,54030,0.00462705904127337
"278","0039340",2013,7320,187680,0.039002557544757
"279","0039380",2013,410,55440,0.0073953823953824
"280","0039460",2013,150,40900,0.00366748166259169
"281","0039540",2013,600,74250,0.00808080808080808
"282","0039580",2013,25300,533810,0.0473951405930949
"283","0039660",2013,870,60640,0.0143469656992084
"284","0039740",2013,2440,165800,0.0147165259348613
"285","0039820",2013,440,56890,0.00773422394093865
"286","0039900",2013,3380,191930,0.0176105871932475
"287","0040060",2013,19590,606070,0.0323229989935156
